ensembl_id,start,end,length,id
ENSRNOG00000000441,4355175,4357107,1933,177
ENSRNOG00000000442,4329811,4353785,23975,178
ENSRNOG00000000443,4302347,4508214,205868,179
ENSRNOG00000000446,2909473,2920891,11419,180
ENSRNOG00000000451,4066132,4070721,4590,181
ENSRNOG00000000454,4020317,4026346,6030,182
ENSRNOG00000000455,3995544,4009587,14044,183
ENSRNOG00000000456,3990613,3993769,3157,184
ENSRNOG00000000457,3979035,3989669,10635,185
ENSRNOG00000000459,3973420,3978845,5426,186
ENSRNOG00000000461,5262120,5269337,7218,187
ENSRNOG00000000463,3830164,3859018,28855,188
ENSRNOG00000000464,3823042,3829140,6099,189
ENSRNOG00000000465,3819414,3822778,3365,190
ENSRNOG00000000466,3817179,3819235,2057,191
ENSRNOG00000000467,3812287,3815834,3548,192
ENSRNOG00000000470,5432004,5441706,9703,193
ENSRNOG00000000471,5446104,5447673,1570,194
ENSRNOG00000000473,5455974,5457444,1471,195
ENSRNOG00000000474,5458509,5466265,7757,196
ENSRNOG00000000476,5476345,5479511,3167,197
ENSRNOG00000000477,5480103,5485926,5824,198
ENSRNOG00000000478,5486474,5499010,12537,199
ENSRNOG00000000479,5509059,5526175,17117,200
ENSRNOG00000000480,5526961,5531941,4981,201
ENSRNOG00000000481,5532024,5533620,1597,202
ENSRNOG00000000483,5535432,5564437,29006,203
ENSRNOG00000000485,5609625,5618260,8636,204
ENSRNOG00000000486,5619012,5625320,6309,205
ENSRNOG00000000487,6745682,6791519,45838,206
ENSRNOG00000000488,7136007,7138980,2974,207
ENSRNOG00000000490,7215774,7219548,3775,208
ENSRNOG00000000491,7292824,7307284,14461,209
ENSRNOG00000000493,7409401,7427581,18181,210
ENSRNOG00000000495,7431355,7471900,40546,211
ENSRNOG00000000498,7484550,7636497,151948,212
ENSRNOG00000000499,7645626,7654428,8803,213
ENSRNOG00000000500,7718282,7746331,28050,214
ENSRNOG00000000501,7762327,7786049,23723,215
ENSRNOG00000000502,7788084,7809560,21477,216
ENSRNOG00000000503,7818289,7885333,67045,217
ENSRNOG00000000504,7895083,7906142,11060,218
ENSRNOG00000000505,7908304,7910867,2564,219
ENSRNOG00000000506,7908226,7930929,22704,220
ENSRNOG00000000507,7931674,7943575,11902,221
ENSRNOG00000000508,8109635,8120180,10546,222
ENSRNOG00000000510,5803383,5806097,2715,223
ENSRNOG00000000511,5831119,5865854,34736,224
ENSRNOG00000000512,5881462,5931648,50187,225
ENSRNOG00000000513,5933303,5995137,61835,226
ENSRNOG00000000515,6018374,6027473,9100,227
ENSRNOG00000000516,6193070,6195463,2394,228
ENSRNOG00000000517,6205903,6219936,14034,229
ENSRNOG00000000519,6224296,6257604,33309,230
ENSRNOG00000000520,6288267,6298213,9947,231
ENSRNOG00000000521,6351458,6358864,7407,232
ENSRNOG00000000522,6419033,6500523,81491,233
ENSRNOG00000000523,6515638,6864571,348934,234
ENSRNOG00000000524,6869767,6905194,35428,235
ENSRNOG00000000525,6923489,6932786,9298,236
ENSRNOG00000000527,6937347,6961162,23816,237
ENSRNOG00000000528,6973398,6990023,16626,238
ENSRNOG00000000529,8165307,8169555,4249,239
ENSRNOG00000000531,8369331,8384088,14758,240
ENSRNOG00000000532,8312792,8368764,55973,241
ENSRNOG00000000536,8515142,8574082,58941,242
ENSRNOG00000000540,8901931,9249820,347890,243
ENSRNOG00000000541,9273594,9291610,18017,244
ENSRNOG00000000542,9313271,9560682,247412,245
ENSRNOG00000000543,41266566,41383424,116859,246
ENSRNOG00000000546,41106991,41209728,102738,247
ENSRNOG00000000547,41100071,41102056,1986,248
ENSRNOG00000000549,41083317,41085875,2559,249
ENSRNOG00000000551,31734183,31736212,2030,250
ENSRNOG00000000552,31456852,31598118,141267,251
ENSRNOG00000000556,31035729,31044096,8368,252
ENSRNOG00000000557,31265483,31310674,45192,253
ENSRNOG00000000559,31234493,31245955,11463,254
ENSRNOG00000000560,31096214,31202514,106301,255
ENSRNOG00000000561,30938901,30975472,36572,256
ENSRNOG00000000562,30915213,30921382,6170,257
ENSRNOG00000000563,30812353,30888751,76399,258
ENSRNOG00000000564,30791422,30804165,12744,259
ENSRNOG00000000565,30699872,30749940,50069,260
ENSRNOG00000000566,30690810,30696476,5667,261
ENSRNOG00000000567,30339673,30406295,66623,262
ENSRNOG00000000568,30287424,30327361,39938,263
ENSRNOG00000000569,29897594,29919998,22405,264
ENSRNOG00000000571,29831314,29856875,25562,265
ENSRNOG00000000572,29731816,29738506,6691,266
ENSRNOG00000000574,29577518,29579578,2061,267
ENSRNOG00000000576,29544629,29558321,13693,268
ENSRNOG00000000579,42966140,42971838,5699,269
ENSRNOG00000000580,27575533,27578244,2712,270
ENSRNOG00000000581,48503973,48574546,70574,271
ENSRNOG00000000582,48739639,48758905,19267,272
ENSRNOG00000000583,45458558,45598798,140241,273
ENSRNOG00000000585,45384000,45399694,15695,274
ENSRNOG00000000586,45347271,45356358,9088,275
ENSRNOG00000000587,45321405,45342948,21544,276
ENSRNOG00000000588,45143453,45260119,116667,277
ENSRNOG00000000589,45121777,45126062,4286,278
ENSRNOG00000000590,45094791,45107555,12765,279
ENSRNOG00000000593,44803666,44961382,157717,280
ENSRNOG00000000595,44680449,44722872,42424,281
ENSRNOG00000000596,44436403,44630317,193915,282
ENSRNOG00000000597,44237491,44255064,17574,283
ENSRNOG00000000598,44220840,44238830,17991,284
ENSRNOG00000000599,44060731,44209614,148884,285
ENSRNOG00000000604,43084870,43108198,23329,286
ENSRNOG00000000605,40236437,40545494,309058,287
ENSRNOG00000000606,14952213,15334745,382533,288
ENSRNOG00000000607,17750744,17751541,798,289
ENSRNOG00000000609,18457310,18489833,32524,290
ENSRNOG00000000610,18493538,18506912,13375,291
ENSRNOG00000000611,18547370,18580291,32922,292
ENSRNOG00000000613,18594037,18606151,12115,293
ENSRNOG00000000614,18780605,18940408,159804,294
ENSRNOG00000000618,88447749,88917070,469322,295
ENSRNOG00000000620,118742313,118749159,6847,296
ENSRNOG00000000622,40208223,40211975,3753,297
ENSRNOG00000000630,20519031,20520365,1335,298
ENSRNOG00000000632,20576377,20591549,15173,299
ENSRNOG00000000633,20638579,20713128,74550,300
ENSRNOG00000000634,21316826,21426034,109209,301
ENSRNOG00000000635,21564975,21880715,315741,302
ENSRNOG00000000636,21932878,22004279,71402,303
ENSRNOG00000000638,22060224,22086108,25885,304
ENSRNOG00000000639,22447994,22449176,1183,305
ENSRNOG00000000640,22454463,22459025,4563,306
ENSRNOG00000000641,22728208,22746474,18267,307
ENSRNOG00000000645,22913694,22999010,85317,308
ENSRNOG00000000648,22751743,22882672,130930,309
ENSRNOG00000000650,23147175,23147489,315,310
ENSRNOG00000000653,53750473,53870428,119956,311
ENSRNOG00000000655,55061562,55173692,112131,312
ENSRNOG00000000657,55488531,55561750,73220,313
ENSRNOG00000000658,48127149,48238887,111739,314
ENSRNOG00000000661,50285278,50314406,29129,315
ENSRNOG00000000662,50315933,50321144,5212,316
ENSRNOG00000000663,50320821,50333052,12232,317
ENSRNOG00000000664,50343086,50383496,40411,318
ENSRNOG00000000665,51280150,51341716,61567,319
ENSRNOG00000000691,48101673,48121270,19598,320
ENSRNOG00000000692,48246569,48254822,8254,321
ENSRNOG00000000693,48292273,48351084,58812,322
ENSRNOG00000000695,48403797,48446977,43181,323
ENSRNOG00000000697,48481750,48554052,72303,324
ENSRNOG00000000699,48577905,48579196,1292,325
ENSRNOG00000000700,48598647,48605704,7058,326
ENSRNOG00000000701,48621454,48627297,5844,327
ENSRNOG00000000702,48628278,48656096,27819,328
ENSRNOG00000000704,48789261,48793553,4293,329
ENSRNOG00000000708,49328977,49395125,66149,330
ENSRNOG00000000713,2785908,2786363,456,331
ENSRNOG00000000715,2645865,2662579,16715,332
ENSRNOG00000000716,1982113,1983513,1401,333
ENSRNOG00000000718,1896209,1915587,19379,334
ENSRNOG00000000720,1814294,1819094,4801,335
ENSRNOG00000000723,4892702,4896991,4290,336
ENSRNOG00000000726,398886,399933,1048,337
ENSRNOG00000000728,295250,310380,15131,338
ENSRNOG00000000729,237506,284943,47438,339
ENSRNOG00000000746,859144,860109,966,340
ENSRNOG00000000747,847285,848229,945,341
ENSRNOG00000000748,844996,845493,498,342
ENSRNOG00000000749,830485,831447,963,343
ENSRNOG00000000759,1647441,1648449,1009,344
ENSRNOG00000000763,1814661,1818800,4140,345
ENSRNOG00000000765,1845209,1846151,943,346
ENSRNOG00000000767,1874382,1875321,940,347
ENSRNOG00000000768,1876173,1897814,21642,348
ENSRNOG00000000774,1955359,1984863,29505,349
ENSRNOG00000000775,2004052,2014286,10235,350
ENSRNOG00000000777,3176107,3179818,3712,351
ENSRNOG00000000778,2077072,2088389,11318,352
ENSRNOG00000000779,2088533,2092436,3904,353
ENSRNOG00000000780,2094931,2098433,3503,354
ENSRNOG00000000781,2098375,2103864,5490,355
ENSRNOG00000000782,2182941,2191640,8700,356
ENSRNOG00000000783,2169545,2178601,9057,357
ENSRNOG00000000785,2500689,2514546,13858,358
ENSRNOG00000000786,2515520,2517498,1979,359
ENSRNOG00000000787,3242470,3249189,6720,360
ENSRNOG00000000795,3167079,3170945,3867,361
ENSRNOG00000000796,28027054,28076664,49611,362
ENSRNOG00000000798,3287506,3299580,12075,363
ENSRNOG00000000799,3309899,3322825,12927,364
ENSRNOG00000000800,35257985,35450513,192529,365
ENSRNOG00000000801,37587687,37589198,1512,366
ENSRNOG00000000802,37465278,37700937,235660,367
ENSRNOG00000000804,3344870,3350927,6058,368
ENSRNOG00000000805,37876650,37889089,12440,369
ENSRNOG00000000808,38935820,38963309,27490,370
ENSRNOG00000000809,3351303,3364565,13263,371
ENSRNOG00000000811,40618128,40712592,94465,372
ENSRNOG00000000812,3364814,3368923,4110,373
ENSRNOG00000000814,40769586,40773349,3764,374
ENSRNOG00000000815,40778927,40800868,21942,375
ENSRNOG00000000816,3372413,3397039,24627,376
ENSRNOG00000000818,3397834,3401315,3482,377
ENSRNOG00000000823,27832932,27879759,46828,378
ENSRNOG00000000824,27703732,27782586,78855,379
ENSRNOG00000000825,27651312,27657983,6672,380
ENSRNOG00000000826,3427880,3438396,10517,381
ENSRNOG00000000827,3438798,3440769,1972,382
ENSRNOG00000000831,3582742,3588375,5634,383
ENSRNOG00000000833,3588497,3599514,11018,384
ENSRNOG00000000836,4861335,4863198,1864,385
ENSRNOG00000000837,4855829,4858447,2619,386
ENSRNOG00000000838,4852496,4854677,2182,387
ENSRNOG00000000839,4822935,4839202,16268,388
ENSRNOG00000000840,4821285,4823494,2210,389
ENSRNOG00000000841,4806108,4818568,12461,390
ENSRNOG00000000842,5049496,5052585,3090,391
ENSRNOG00000000843,5057701,5059933,2233,392
ENSRNOG00000000844,5061658,5064469,2812,393
ENSRNOG00000000846,5100415,5104494,4080,394
ENSRNOG00000000847,5106890,5113112,6223,395
ENSRNOG00000000848,5113339,5116382,3044,396
ENSRNOG00000000850,5120474,5123073,2600,397
ENSRNOG00000000851,5125349,5138084,12736,398
ENSRNOG00000000852,5139882,5155293,15412,399
ENSRNOG00000000853,5161333,5166448,5116,400
ENSRNOG00000000854,5170215,5175773,5559,401
ENSRNOG00000000855,5176016,5179263,3248,402
ENSRNOG00000000857,5020667,5037088,16422,403
ENSRNOG00000000858,5018264,5020150,1887,404
ENSRNOG00000000860,5008508,5017669,9162,405
ENSRNOG00000000861,140878216,140888795,10580,406
ENSRNOG00000000866,159884885,159891326,6442,407
ENSRNOG00000000867,4993560,5008262,14703,408
ENSRNOG00000000869,159723866,159841072,117207,409
ENSRNOG00000000871,159703578,159716562,12985,410
ENSRNOG00000000873,159505344,159511021,5678,411
ENSRNOG00000000875,159112880,159172524,59645,412
ENSRNOG00000000878,4593389,4609631,16243,413
ENSRNOG00000000879,158978755,159045044,66290,414
ENSRNOG00000000881,158966673,158978995,12323,415
ENSRNOG00000000885,28212333,28251816,39484,416
ENSRNOG00000000886,29308341,29743705,435365,417
ENSRNOG00000000887,4633746,4634486,741,418
ENSRNOG00000000888,29921443,29930600,9158,419
ENSRNOG00000000889,157031018,157066781,35764,420
ENSRNOG00000000891,4737817,4741997,4181,421
ENSRNOG00000000893,29933906,29958050,24145,422
ENSRNOG00000000894,5573729,5822874,249146,423
ENSRNOG00000000895,29961120,29988959,27840,424
ENSRNOG00000000896,90304148,90304654,507,425
ENSRNOG00000000897,6016884,6078411,61528,426
ENSRNOG00000000900,30045751,30106893,61143,427
ENSRNOG00000000901,30125168,30180115,54948,428
ENSRNOG00000000902,6322668,6341902,19235,429
ENSRNOG00000000903,30165694,30178341,12648,430
ENSRNOG00000000904,6265748,6316948,51201,431
ENSRNOG00000000905,6671940,6703979,32040,432
ENSRNOG00000000906,6711747,6740714,28968,433
ENSRNOG00000000907,6854920,6879154,24235,434
ENSRNOG00000000909,6929978,6956984,27007,435
ENSRNOG00000000913,30198822,30227771,28950,436
ENSRNOG00000000916,7208850,7271872,63023,437
ENSRNOG00000000917,30303725,30304036,312,438
ENSRNOG00000000918,30308469,30314519,6051,439
ENSRNOG00000000920,30450316,30464352,14037,440
ENSRNOG00000000921,7865938,7911525,45588,441
ENSRNOG00000000922,30464676,30491102,26427,442
ENSRNOG00000000923,30491416,30501860,10445,443
ENSRNOG00000000924,8032809,8108972,76164,444
ENSRNOG00000000925,30514112,30526557,12446,445
ENSRNOG00000000926,30570386,30573610,3225,446
ENSRNOG00000000931,30740520,30811054,70535,447
ENSRNOG00000000934,31609053,31629881,20829,448
ENSRNOG00000000936,31335372,31360254,24883,449
ENSRNOG00000000937,8725517,8741951,16435,450
ENSRNOG00000000938,31320624,31323810,3187,451
ENSRNOG00000000940,9034308,9205905,171598,452
ENSRNOG00000000942,9216536,9331195,114660,453
ENSRNOG00000000943,31258135,31258401,267,454
ENSRNOG00000000952,9605873,9607168,1296,455
ENSRNOG00000000954,9693779,9727489,33711,456
ENSRNOG00000000955,9728486,9793428,64943,457
ENSRNOG00000000956,9985928,9990284,4357,458
ENSRNOG00000000957,9996951,9998779,1829,459
ENSRNOG00000000958,16156919,16158033,1115,460
ENSRNOG00000000961,32666635,32740732,74098,461
ENSRNOG00000000962,32753824,32773277,19454,462
ENSRNOG00000000963,32808022,33016885,208864,463
ENSRNOG00000000964,34003895,34004671,777,464
ENSRNOG00000000967,36512393,36555694,43302,465
ENSRNOG00000000968,10574168,10583208,9041,466
ENSRNOG00000000969,10636275,10684278,48004,467
ENSRNOG00000000973,2016058,2033112,17055,468
ENSRNOG00000000974,2046472,2050565,4094,469
ENSRNOG00000000975,2054680,2068682,14003,470
ENSRNOG00000000977,2069959,2097904,27946,471
ENSRNOG00000000978,11663683,11677830,14148,472
ENSRNOG00000000979,36576020,36587839,11820,473
ENSRNOG00000000981,36694960,36761455,66496,474
ENSRNOG00000000983,11179329,11187380,8052,475
ENSRNOG00000000985,11199898,11215708,15811,476
ENSRNOG00000000986,2134022,2157403,23382,477
ENSRNOG00000000987,11215886,11233633,17748,478
ENSRNOG00000000988,2158389,2170504,12116,479
ENSRNOG00000000989,11232964,11240400,7437,480
ENSRNOG00000000990,11240761,11251004,10244,481
ENSRNOG00000000991,11252296,11265865,13570,482
ENSRNOG00000000993,2172378,2174131,1754,483
ENSRNOG00000000994,2180150,2191175,11026,484
ENSRNOG00000000996,11272609,11294058,21450,485
ENSRNOG00000000999,11407213,11526465,119253,486
ENSRNOG00000001001,2201891,2204249,2359,487
ENSRNOG00000001003,2228670,2232214,3545,488
ENSRNOG00000001004,36871999,37033701,161703,489
ENSRNOG00000001005,2233778,2245324,11547,490
ENSRNOG00000001006,12013911,12025549,11639,491
ENSRNOG00000001007,12227010,12321172,94163,492
ENSRNOG00000001009,12322243,12330939,8697,493
ENSRNOG00000001010,12374790,12402552,27763,494
ENSRNOG00000001011,37038733,37047628,8896,495
ENSRNOG00000001017,2406879,2413324,6446,496
ENSRNOG00000001027,2716376,2719073,2698,497
ENSRNOG00000001030,58554374,58658153,103780,498
ENSRNOG00000001031,12624723,12634472,9750,499
ENSRNOG00000001032,12638864,12662371,23508,500
ENSRNOG00000001033,58170967,58201970,31004,501
ENSRNOG00000001034,2587891,2626310,38420,502
ENSRNOG00000001035,37427546,37444282,16737,503
ENSRNOG00000001036,12665194,12712742,47549,504
ENSRNOG00000001037,58153275,58171049,17775,505
ENSRNOG00000001039,37444072,37465398,21327,506
ENSRNOG00000001040,12714394,12738641,24248,507
ENSRNOG00000001043,37453005,37468935,15931,508
ENSRNOG00000001044,12738812,12748345,9534,509
ENSRNOG00000001047,2548218,2555164,6947,510
ENSRNOG00000001048,12756452,12760838,4387,511
ENSRNOG00000001049,57891680,57894504,2825,512
ENSRNOG00000001050,12748785,12782146,33362,513
ENSRNOG00000001052,57813356,57834173,20818,514
ENSRNOG00000001053,37471260,37480297,9038,515
ENSRNOG00000001055,37490584,37528784,38201,516
ENSRNOG00000001056,2537275,2540668,3394,517
ENSRNOG00000001057,2534212,2535822,1611,518
ENSRNOG00000001058,2517006,2533706,16701,519
ENSRNOG00000001059,12859661,12877495,17835,520
ENSRNOG00000001060,37531095,37538403,7309,521
ENSRNOG00000001061,37544918,37556453,11536,522
ENSRNOG00000001062,37559770,37574750,14981,523
ENSRNOG00000001064,37593874,37649036,55163,524
ENSRNOG00000001065,12877559,12945192,67634,525
ENSRNOG00000001066,72160735,72195509,34775,526
ENSRNOG00000001068,13090172,13111873,21702,527
ENSRNOG00000001069,2461502,2502432,40931,528
ENSRNOG00000001070,37668369,37677063,8695,529
ENSRNOG00000001071,4546287,4546607,321,530
ENSRNOG00000001072,4439750,4474729,34980,531
ENSRNOG00000001073,37677019,37699616,22598,532
ENSRNOG00000001074,37702404,37768957,66554,533
ENSRNOG00000001079,13113237,13157666,44430,534
ENSRNOG00000001080,37904379,37906521,2143,535
ENSRNOG00000001081,37907130,37910439,3310,536
ENSRNOG00000001082,37923528,37958363,34836,537
ENSRNOG00000001083,13192453,13210758,18306,538
ENSRNOG00000001086,37984790,38023368,38579,539
ENSRNOG00000001088,1460538,1471357,10820,540
ENSRNOG00000001090,1023531,1195591,172061,541
ENSRNOG00000001091,38024519,38053085,28567,542
ENSRNOG00000001092,943006,987551,44546,543
ENSRNOG00000001094,13353750,13364338,10589,544
ENSRNOG00000001098,660011,794042,134032,545
ENSRNOG00000001099,13428685,13442286,13602,546
ENSRNOG00000001101,13508429,13632304,123876,547
ENSRNOG00000001103,14449010,15098786,649777,548
ENSRNOG00000001104,14180029,14244316,64288,549
ENSRNOG00000001106,38096034,38116919,20886,550
ENSRNOG00000001107,14169139,14175945,6807,551
ENSRNOG00000001108,628488,650376,21889,552
ENSRNOG00000001111,504007,544748,40742,553
ENSRNOG00000001113,14021727,14078134,56408,554
ENSRNOG00000001114,13969586,13998172,28587,555
ENSRNOG00000001115,13914114,13924531,10418,556
ENSRNOG00000001117,13734429,13747215,12787,557
ENSRNOG00000001120,43421308,43576804,155497,558
ENSRNOG00000001123,43920564,43940798,20235,559
ENSRNOG00000001124,43940929,44008685,67757,560
