transcript_id,length
uc001aip.2,1925
uc001aiq.3,2326
uc001air.3,2114
uc001ais.3,2011
uc001ait.3,1861
uc001aiu.1,2089
uc001aiv.2,2365
uc001aiw.2,2234
uc001aix.2,2284
uc001aiy.3,729
uc001aiz.2,1943
uc001aja.4,5707
uc001ajb.1,1641
uc001ajc.3,2248
uc001ajd.1,1345
uc001aje.2,3104
uc001ajf.2,3214
uc001ajg.3,2074
uc001ajh.3,2014
uc001aji.1,4834
uc001ajj.1,4854
uc001ajk.1,5564
uc001ajl.1,2241
uc001ajm.1,2642
uc001ajn.3,1306
uc001ajo.2,2368
uc001ajp.2,2209
uc001ajq.2,2303
uc001ajr.3,1706
uc001ajt.1,4460
uc001aju.3,2775
uc001ajv.2,2829
uc001ajw.2,2743
uc001ajx.2,2577
uc001ajy.2,2902
uc001ajz.3,1422
uc001aka.3,2224
uc001akc.3,8663
uc001ake.3,8666
uc001akf.3,8723
uc001akg.4,2904
uc001aki.3,2211
uc001akj.3,2219
uc001akk.3,6479
uc001akl.3,7439
uc001akm.3,2427
uc001akn.3,2041
uc001ako.3,1699
uc001akp.3,5143
uc001akr.3,5120
uc001aks.3,5026
uc001akt.4,3324
uc001akv.2,2174
uc001akw.4,546
uc001akx.1,2648
uc001aky.2,6458
uc001akz.3,2209
uc001ala.1,679
uc001alb.3,3050
uc001alc.3,3028
uc001ald.3,3078
uc001ale.3,3165
uc001alf.3,1666
uc001alg.3,1952
uc001alh.4,1057
uc001ali.2,568
uc001alj.2,2074
uc001alm.1,2070
uc001aln.3,2923
uc001alo.4,4626
uc001alp.1,847
uc001alq.2,5004
uc001alr.1,4370
uc001als.2,3632
uc001alt.3,2598
uc001alu.3,2703
uc001alv.2,4208
uc001alw.2,4166
uc001alx.2,4282
uc001aly.2,4156
uc001alz.2,6349
uc001ama.2,7741
uc001amb.2,9663
uc001amc.1,3491
uc001amd.3,2085
uc001ame.3,2068
uc001amf.1,1293
uc001amg.3,3971
uc001amh.3,1413
uc001amk.3,4815
uc001aml.3,4922
uc001amm.3,1260
uc001amp.2,4082
uc001amq.3,1414
uc001amr.3,1430
uc001ams.3,1625
uc001amt.3,1805
uc001amu.3,1878
uc001amw.3,1202
uc001amx.3,4260
uc001amy.3,3531
uc001amz.3,1884
uc001ana.3,1073
uc001anb.3,1566
uc001anc.3,1455
uc001and.3,1320
uc001ane.3,1622
uc001anf.3,1511
uc001ang.3,1487
uc001anh.3,1649
uc001ani.1,894
uc001anj.1,3694
uc001ank.1,4698
uc001anl.2,4729
uc001anm.2,4644
uc001ann.1,4783
uc001ano.1,4761
uc001anp.2,5273
uc001anq.2,4580
uc001ans.3,6712
uc001ant.3,2795
uc001anu.3,2033
uc001anx.3,2338
uc001any.2,2484
uc001anz.1,6318
uc001aoa.3,4487
uc001aob.4,3670
uc001aoc.3,1384
uc001aod.3,1291
uc001aoe.2,2095
uc001aof.2,3293
uc001aog.2,3137
uc001aoh.3,732
uc001aoi.3,8444
uc001aoj.3,5161
uc001aok.4,5420
uc001aol.3,2205
uc001aon.3,1524
uc001aoo.3,6252
uc001aop.3,6279
uc001aoq.3,1648
uc001aor.3,644
uc001aos.3,648
uc001aot.3,5993
uc001aou.4,903
uc001aov.4,843
uc001aox.4,961
uc001aoy.1,2323
uc001aoz.3,3129
uc001apa.1,2156
uc001apb.3,2401
uc001apc.3,1757
uc001apd.3,6308
uc001ape.3,8194
uc001apf.3,8009
uc001apg.1,584
uc001aph.1,2710
uc001api.2,2550
uc001apj.2,2187
uc001apm.4,1365
uc001apo.3,2438
uc001app.4,1280
uc001apq.1,1153
uc001apr.3,2917
uc001aps.3,2267
uc001apt.3,9115
uc001apv.3,2963
uc001apw.3,1461
uc001apy.3,3907
uc001aqa.2,649
uc001aqb.4,5411
uc001aqc.4,1823
uc001aqe.4,5483
uc001aqf.3,2236
uc001aqh.3,5192
uc001aqi.3,5162
uc001aqk.1,2995
uc001aql.1,2961
uc001aqm.3,1421
uc001aqo.3,1502
uc001aqp.3,3781
uc001aqq.3,655
uc001aqr.4,5492
uc001aqs.4,5879
uc001aqu.3,2040
uc001aqv.4,7664
uc001aqw.4,10581
uc001aqx.4,10669
uc001aqy.3,8668
uc001aqz.3,8746
uc001ara.3,8626
uc001arb.3,8704
uc001arc.3,1937
uc001are.3,1243
uc001arf.3,1319
uc001ari.4,1231
uc001arj.3,2038
uc001ark.3,3393
uc001arl.3,313
uc001arm.1,1132
uc001arn.3,1926
uc001aro.4,7959
uc001arp.2,4438
uc001arq.1,2267
uc001arr.2,2335
uc001ars.2,2311
uc001art.3,4217
uc001aru.3,2455
uc001arv.3,732
uc001arw.3,2202
uc001arx.2,885
uc001arz.1,1273
uc001asa.3,2807
uc001asb.3,2732
uc001asc.3,4021
uc001asd.3,8725
uc001ase.4,2290
uc001asg.3,3654
uc001ash.4,5214
uc001asi.1,2837
uc001asj.3,1715
uc001ask.3,2934
uc001asl.3,3320
uc001asm.3,2948
uc001asn.3,2823
uc001aso.3,1549
uc001asp.3,1343
uc001asq.4,1831
uc001asr.1,1773
uc001ass.2,3728
uc001ast.3,1280
uc001asu.3,1259
uc001asv.3,1183
uc001asw.3,1162
uc001asx.3,1127
uc001asy.1,726
uc001asz.3,2664
uc001ata.3,1739
uc001atb.1,7188
uc001atc.2,7150
uc001atd.1,1411
uc001ate.5,5698
uc001ati.3,854
uc001atj.3,698
uc001atk.3,2823
uc001atl.2,2539
uc001atm.3,3031
uc001atn.4,4677
uc001ato.2,1801
uc001atq.3,3686
uc001atr.3,2361
uc001ats.3,2153
uc001att.3,3675
uc001atu.3,3575
uc001atv.3,16328
uc001atw.3,16253
uc001atx.3,13948
uc001aty.1,4062
uc001atz.1,152
uc001aub.3,1369
uc001auc.3,1806
uc001aud.4,1226
uc001aue.1,252
uc001auf.3,1575
uc001aug.1,3832
uc001auh.3,1019
uc001aui.3,1785
uc001auj.2,2160
uc001auk.2,1839
uc001aum.1,1642
uc001aun.2,1840
uc001auo.3,1518
uc001aup.3,1843
uc001auq.2,1720
uc001aur.2,1734
uc001aus.1,1855
uc001aut.1,2104
uc001auu.1,1855
uc001auv.3,1843
uc001auw.1,1863
uc001aux.3,1586
uc001auy.2,1844
uc001auz.4,1512
uc001ava.1,1863
uc001avb.3,1908
uc001avc.3,2806
uc001avd.3,2812
uc001ave.3,2630
uc001avf.3,2636
uc001avg.3,2702
uc001avh.3,7457
uc001avi.3,7957
uc001avk.3,6273
uc001avl.1,4052
uc001avm.4,6022
uc001avo.2,3842
uc001avp.2,3643
uc001avq.2,3653
uc001avr.2,3393
uc001avs.4,4529
uc001avv.4,6979
uc001avw.4,2016
uc001avx.3,1912
uc001avy.3,1985
uc001avz.3,1881
uc001awa.1,2193
uc001awb.2,5090
uc001awc.1,3105
uc001awd.1,3506
uc001awe.1,2672
uc001awf.3,1380
uc001awg.3,1241
uc001awh.2,2419
uc001awi.1,899
uc001awj.1,753
uc001awk.3,920
uc001awl.3,923
uc001awm.2,4466
uc001awn.4,3038
uc001awo.4,2588
uc001awp.4,3096
uc001awr.1,2314
uc001aws.3,6025
uc001awt.3,5840
uc001awu.3,2929
uc001awv.2,3154
uc001aww.3,1581
uc001awx.2,2680
uc001awz.3,2772
uc001axb.1,3070
uc001axc.4,1265
uc001axd.1,3493
uc001axe.1,3349
uc001axg.1,1524
uc001axh.1,2792
uc001axi.1,2779
uc001axj.2,2732
uc001axk.1,12227
uc001axl.4,2751
uc001axm.1,29
uc001axn.3,921
uc001axo.2,2892
uc001axp.2,2877
uc001axq.2,2904
uc001axr.2,2907
uc001axs.2,2415
uc001axt.3,3060
uc001axu.3,2536
uc001axv.3,2533
uc001axx.5,2626
uc001axy.5,2174
uc001axz.4,1701
uc001aya.2,3964
uc001ayc.1,3029
uc001ayd.3,1560
uc001ayf.3,3056
uc001ayg.3,2976
uc001ayh.3,2977
uc001ayi.5,3645
uc001ayk.5,3642
uc001ayl.1,3650
uc001aym.5,3695
uc001ayn.3,2015
uc001ayo.3,2081
uc001ayq.3,2005
uc001ays.2,1122
uc001ayt.2,5368
uc001ayv.2,2415
uc001ayw.4,5942
uc001ayz.1,1512
uc001aza.5,2783
uc001azb.1,3026
uc001azc.2,2814
uc001aze.3,2175
uc001azf.3,2747
uc001azg.1,1912
uc001azi.1,2029
uc001azj.1,596
uc001azk.2,1748
uc001azm.4,2414
uc001azn.1,2015
uc001azp.5,4443
uc001azs.1,359
uc001azt.2,6656
uc001azu.2,6137
uc001azv.2,2424
uc001azw.3,1101
uc001azx.3,1098
uc001azy.3,1082
uc001baa.2,3996
uc001bab.2,3981
uc001bac.2,3694
uc001bad.1,1639
uc001bae.3,1145
uc001baf.3,4363
uc001bag.1,1625
uc001bah.1,3847
uc001bai.3,3188
uc001baj.2,2265
uc001bak.1,2346
uc001bal.3,3953
uc001bam.3,4122
uc001ban.3,4494
uc001bao.3,4261
uc001bap.3,4246
uc001baq.3,4600
uc001bar.3,3482
uc001bas.3,2262
uc001bat.3,1861
uc001bau.2,1944
uc001bav.2,1885
uc001baw.1,1111
uc001bax.3,5057
uc001bay.3,2260
uc001baz.3,2254
uc001bba.1,2521
uc001bbb.3,2370
uc001bbc.3,3383
uc001bbd.2,5835
uc001bbe.1,3402
uc001bbf.3,943
uc001bbg.3,3483
uc001bbh.3,3479
uc001bbi.3,15882
uc001bbj.1,3162
uc001bbk.1,3124
uc001bbl.1,2172
uc001bbm.1,5751
uc001bbn.4,5102
uc001bbo.4,6671
uc001bbp.4,6668
uc001bbq.4,6668
uc001bbr.4,6605
uc001bbs.3,2273
uc001bbv.1,1241
uc001bbw.3,2619
uc001bby.3,1885
uc001bbz.3,1643
uc001bca.3,2255
uc001bcb.3,1612
uc001bce.3,1710
uc001bcf.2,2093
uc001bch.2,3805
uc001bci.2,3726
uc001bcj.2,2061
uc001bck.3,2166
uc001bcl.3,1984
uc001bcn.3,2974
uc001bco.1,2401
uc001bcp.1,2281
uc001bcq.1,1045
uc001bcr.3,1250
uc001bcs.4,6514
uc001bct.1,487
uc001bcu.3,923
uc001bcv.3,1000
uc001bcx.3,2582
uc001bcy.3,1894
uc001bcz.4,1970
uc001bdb.3,2972
uc001bdd.2,3743
uc001bde.3,2908
uc001bdf.2,3783
uc001bdh.3,2351
uc001bdi.4,2458
uc001bdj.3,2582
uc001bdk.3,959
uc001bdl.3,1080
uc001bdm.3,2660
uc001bdn.3,1659
uc001bdo.1,2126
uc001bdp.4,1806
uc001bdr.4,3778
uc001bds.4,3775
uc001bdt.1,3705
uc001bdu.1,3063
uc001bdv.1,4317
uc001bdw.1,3921
uc001bdy.1,1860
uc001bea.2,2537
uc001beb.3,928
uc001bec.3,6041
uc001bee.3,6425
uc001bef.3,6515
uc001beg.3,1838
uc001beh.3,2197
uc001bei.2,5087
uc001bej.2,5241
uc001bek.2,5096
uc001bem.2,5136
uc001ben.1,2326
uc001beo.2,2574
uc001bep.1,2057
uc001beq.1,105
uc001ber.4,3814
uc001bes.4,4343
uc001bet.3,2596
uc001beu.4,2593
uc001bev.3,3349
uc001bew.3,3301
uc001bex.3,3334
uc001bey.3,3495
uc001bez.1,489
uc001bfa.3,3641
uc001bfb.3,4464
uc001bfc.3,4308
uc001bfd.1,2089
uc001bfe.1,2126
uc001bff.3,2412
uc001bfg.1,4012
uc001bfh.1,987
uc001bfi.3,3587
uc001bfj.3,14288
uc001bfk.3,1003
uc001bfl.3,907
uc001bfm.4,1102
uc001bfn.4,1038
uc001bfp.3,1513
uc001bfq.3,2294
uc001bfr.3,2168
uc001bfs.4,3905
uc001bft.2,8992
uc001bfu.2,8704
uc001bfv.1,2160
uc001bfw.3,1853
uc001bfx.1,4996
uc001bfy.3,1098
uc001bga.4,1191
uc001bgc.4,1168
uc001bgd.3,1044
uc001bge.3,4869
uc001bgf.3,4866
uc001bgg.1,3565
uc001bgh.1,510
uc001bgi.2,3035
uc001bgj.2,3107
uc001bgk.2,8653
uc001bgl.3,3922
uc001bgm.1,3874
uc001bgn.3,2835
uc001bgo.3,1638
uc001bgp.4,2741
uc001bgr.4,2732
uc001bgs.4,2566
uc001bgt.3,4315
uc001bgu.3,4493
uc001bgw.3,2867
uc001bgy.1,2552
uc001bha.2,4129
uc001bhc.1,697
uc001bhd.4,2043
uc001bhe.2,5193
uc001bhf.1,2178
uc001bhh.4,1239
uc001bhi.3,1779
uc001bhj.3,1625
uc001bhk.3,634
uc001bhl.3,631
uc001bho.3,4943
uc001bhp.2,1084
uc001bhq.3,1622
uc001bht.3,1624
uc001bhv.1,1631
uc001bhx.1,1566
uc001bhz.1,1824
uc001bib.3,1608
uc001bic.3,2161
uc001bie.3,2117
uc001bif.3,1775
uc001big.3,2414
uc001bij.2,2373
uc001bil.4,2687
uc001bim.4,4860
uc001bin.4,5800
uc001bio.3,3941
uc001bip.1,5094
uc001biq.2,2962
uc001bir.3,4476
uc001bis.3,4563
uc001bit.3,4432
uc001biu.3,4439
uc001biv.3,701
uc001bix.3,2869
uc001biy.3,2700
uc001biz.3,2513
uc001bja.3,2597
uc001bjb.3,2860
uc001bjc.3,2716
uc001bjd.3,2804
uc001bjf.3,1655
uc001bjh.3,5426
uc001bji.3,2738
uc001bjj.3,2782
uc001bjk.2,3990
uc001bjm.3,3934
uc001bjo.2,4434
uc001bjp.1,2519
uc001bjq.3,4270
uc001bjr.3,4340
uc001bjs.3,2874
uc001bjt.1,1777
uc001bju.1,1651
uc001bjv.1,1982
uc001bjw.3,1465
uc001bjz.3,2833
uc001bka.3,2759
uc001bkb.3,2929
uc001bkc.3,2545
uc001bkd.1,2415
uc001bke.3,2302
uc001bkf.3,1618
uc001bkg.3,1484
uc001bkh.3,1223
uc001bki.3,1165
uc001bkj.3,1873
uc001bkk.3,3938
uc001bkl.4,2935
uc001bkm.2,3201
uc001bkq.4,2005
uc001bkr.4,1896
uc001bks.4,2103
uc001bkt.4,2057
uc001bku.4,2261
uc001bkv.4,2539
uc001bkw.1,2061
uc001bkx.3,3023
uc001bky.3,1778
uc001bkz.3,1714
uc001bla.3,1526
uc001blb.3,1505
uc001blc.3,1502
uc001bld.4,3581
uc001ble.4,3639
uc001blf.3,4014
uc001blg.1,2473
uc001blh.1,2326
uc001bli.2,1770
uc001blj.4,4344
uc001blk.3,1524
uc001bll.4,649
uc001blm.4,2536
uc001bln.4,2557
uc001blq.3,1078
uc001blr.3,3931
uc001bls.1,3935
uc001blt.1,2385
uc001blu.3,1115
uc001blw.3,1853
uc001blx.3,1396
uc001bly.3,1368
uc001blz.1,1604
uc001bma.3,1848
uc001bmc.3,505
uc001bmd.4,5245
uc001bmf.3,834
uc001bmg.1,1710
uc001bmh.1,1653
uc001bmi.1,3497
uc001bmj.3,4014
uc001bmk.3,3328
uc001bml.3,3325
uc001bmm.3,3348
uc001bmn.3,3208
uc001bmo.1,655
uc001bmp.4,1969
uc001bmr.1,3199
uc001bms.1,3112
uc001bmt.1,5494
uc001bmu.1,7934
uc001bmv.1,8585
uc001bmw.1,4127
uc001bmx.1,5011
uc001bmz.3,2404
uc001bna.3,2730
uc001bnb.3,3139
uc001bnc.1,1315
uc001bnd.1,1510
uc001bne.3,2129
uc001bnf.3,1271
uc001bng.2,1813
uc001bni.2,1803
uc001bnj.4,1949
uc001bnl.3,3171
uc001bnm.4,4742
uc001bnn.3,2715
uc001bno.4,4816
uc001bnp.1,3207
uc001bnr.4,1614
uc001bns.4,1702
uc001bnt.4,1767
uc001bnv.2,1930
uc001bnw.2,1966
uc001bnx.2,3644
uc001bny.1,4328
uc001bnz.1,1525
uc001boa.3,1032
uc001bob.3,999
uc001boc.3,1539
uc001bod.4,2114
uc001bof.2,5671
uc001boh.1,2013
uc001boi.3,1426
uc001boj.3,2360
uc001bok.3,2485
uc001bol.3,2426
uc001bom.3,2442
uc001bon.1,860
uc001boo.1,836
uc001bop.1,848
uc001boq.3,3357
uc001bor.3,3459
uc001bos.3,3372
uc001bot.3,3270
uc001bou.4,3079
uc001bov.2,2377
uc001bow.2,2659
uc001box.2,2558
uc001boy.1,166
uc001boz.3,1647
uc001bpa.3,1236
uc001bpc.4,2720
uc001bpe.1,1720
uc001bpf.3,1594
uc001bpg.3,1873
uc001bph.1,2158
uc001bpi.2,6026
uc001bpj.3,1802
uc001bpk.2,1842
uc001bpl.3,4247
uc001bpm.4,4109
uc001bpn.3,1764
uc001bpo.3,1886
uc001bpp.3,617
uc001bpq.3,541
uc001bpr.3,1925
uc001bps.3,3528
uc001bpt.4,1869
uc001bpu.3,1551
uc001bpv.1,3355
uc001bpw.3,6211
uc001bpx.3,6327
uc001bpy.3,6194
uc001bqa.2,2858
uc001bqb.2,2854
uc001bqc.2,2715
uc001bqd.3,2346
uc001bqe.2,2591
uc001bqf.2,2633
uc001bqg.2,2540
uc001bqh.4,2015
uc001bqi.3,1867
uc001bqk.3,739
uc001bql.3,1080
uc001bqm.3,1781
uc001bqn.3,1641
uc001bqo.3,1904
uc001bqq.1,80
uc001bqr.2,130
uc001bqs.2,132
uc001bqt.2,134
uc001bqu.3,1083
uc001bqv.3,1133
uc001bqx.3,1450
uc001bqy.3,1113
uc001bqz.3,2661
uc001bra.3,2694
uc001brb.3,2664
uc001brc.3,3060
uc001bre.3,3244
uc001brf.1,1774
uc001brg.2,5994
uc001brh.2,5818
uc001bri.2,5689
uc001brj.2,5777
uc001brk.3,2405
uc001brl.2,5930
uc001brm.2,5956
uc001brn.2,2478
uc001bro.3,2530
uc001brp.1,2434
uc001brq.1,2307
uc001brt.1,1872
uc001bru.3,5622
uc001brw.3,5592
uc001brx.3,2251
uc001bry.3,1516
uc001brz.3,3830
uc001bsb.1,2050
uc001bsc.2,2240
uc001bsd.2,6393
uc001bse.2,5121
uc001bsf.1,4400
uc001bsh.1,5385
uc001bsi.1,5379
uc001bsj.1,5307
uc001bsk.1,5511
uc001bsl.1,75
uc001bso.3,1624
uc001bsp.1,1602
uc001bsq.1,1672
uc001bsr.1,1651
uc001bss.1,1097
uc001bst.3,1999
uc001bsu.3,2810
uc001bsw.2,397
uc001bsy.1,2741
uc001bta.3,2237
uc001btc.4,1690
uc001btd.2,1769
uc001bte.1,2968
uc001bth.2,1979
uc001btj.1,4860
uc001btk.1,5584
uc001btl.4,3489
uc001btn.3,5415
uc001bto.3,5412
uc001btp.1,2936
uc001btq.1,2586
uc001btr.1,2400
uc001bts.1,3888
uc001btu.3,3843
uc001btv.3,2421
uc001btw.1,2645
uc001btx.2,3453
uc001bty.2,3929
uc001bua.2,2774
uc001bub.4,2891
uc001buc.2,2486
uc001buf.4,1579
uc001bug.3,7372
uc001buh.3,7350
uc001bui.3,4796
uc001buj.3,5012
uc001bul.1,877
uc001bum.2,2053
uc001bun.2,1349
uc001buo.3,1530
uc001bup.3,1389
uc001buq.4,1082
uc001bur.4,1919
uc001but.3,1411
uc001buv.4,2714
uc001buw.3,956
uc001bux.3,2117
uc001buy.3,2100
uc001buz.3,2190
uc001bva.3,2005
uc001bvb.1,2091
uc001bvc.1,2397
uc001bvd.4,1562
uc001bvf.3,1315
uc001bvg.4,2967
uc001bvh.4,2858
uc001bvi.3,4630
uc001bvj.3,4521
uc001bvk.3,8596
uc001bvl.4,4018
uc001bvm.3,1836
uc001bvn.3,7333
uc001bvo.1,331
uc001bvp.3,715
uc001bvq.3,662
uc001bvr.3,7943
uc001bvs.3,7940
uc001bvt.2,3493
uc001bvu.1,5412
uc001bvv.2,5327
uc001bvw.1,2245
uc001bvx.1,2639
uc001bvy.1,3117
uc001bvz.4,4345
uc001bwb.2,3638
uc001bwc.4,4359
uc001bwd.4,4098
uc001bwe.3,1643
uc001bwf.2,2732
uc001bwg.3,3019
uc001bwh.3,1406
uc001bwi.1,993
uc001bwj.1,834
uc001bwk.1,933
uc001bwm.4,2603
uc001bwn.3,1680
uc001bwo.2,3671
uc001bwp.2,2759
uc001bwq.2,3789
uc001bwr.3,2182
uc001bws.3,1967
uc001bwt.1,4818
uc001bwu.3,1851
uc001bwv.3,1677
uc001bwx.1,5848
uc001bwy.1,1198
uc001bwz.1,1161
uc001bxa.1,1360
uc001bxb.3,3841
uc001bxc.1,3106
uc001bxe.1,2566
uc001bxf.1,2638
uc001bxg.1,3873
uc001bxh.1,3789
uc001bxi.1,1069
uc001bxj.4,4218
uc001bxk.2,2343
uc001bxm.1,13688
uc001bxn.1,13108
uc001bxo.1,4379
uc001bxp.3,2343
uc001bxq.3,628
uc001bxr.3,1364
uc001bxs.4,1995
uc001bxt.3,3004
uc001bxu.4,1355
uc001bxv.1,2840
uc001bxw.4,801
uc001bxx.3,2219
uc001bxy.3,1762
uc001bxz.4,813
uc001bya.3,1622
uc001byb.3,5761
uc001byc.3,3587
uc001byd.4,1854
uc001bye.3,925
uc001byf.1,2461
uc001byh.3,5144
uc001byi.2,2736
uc001byj.2,2665
uc001byk.2,2759
uc001byl.1,4098
uc001bym.3,4170
uc001byn.3,4218
uc001byo.3,4288
uc001byp.3,2667
uc001byq.3,2670
uc001bys.3,3073
uc001byt.3,6994
uc001byu.3,6239
uc001byw.3,2936
uc001byx.3,4812
uc001bza.3,3433
uc001bzb.3,3705
uc001bzc.3,3365
uc001bzd.2,5968
uc001bzf.2,4743
uc001bzh.1,2934
uc001bzi.3,8484
uc001bzj.2,7060
uc001bzk.3,7336
uc001bzl.3,7478
uc001bzm.1,3778
uc001bzn.1,1726
uc001bzp.3,3645
uc001bzq.3,3387
uc001bzr.3,1509
uc001bzs.3,1732
uc001bzt.3,1691
uc001bzv.2,4445
uc001bzw.2,4300
uc001bzx.4,1313
uc001bzz.3,3324
uc001caa.3,3225
uc001cab.3,3210
uc001cac.3,2645
uc001cad.3,1805
uc001cae.4,4431
uc001caf.4,4563
uc001cag.1,1996
uc001cai.1,973
uc001caj.1,1054
uc001cak.1,3846
uc001cal.1,3624
uc001cam.1,3609
uc001can.1,4831
uc001cao.1,850
uc001caq.3,1489
uc001car.3,808
uc001cas.2,965
uc001cav.2,2989
uc001caw.2,3409
uc001cax.2,3490
uc001caz.2,9219
uc001cba.1,3069
uc001cbb.4,2716
uc001cbc.1,2457
uc001cbd.2,5353
uc001cbe.2,4818
uc001cbg.2,4788
uc001cbh.2,4876
uc001cbi.4,4605
uc001cbj.3,2649
uc001cbk.3,2402
uc001cbl.2,3088
uc001cbm.2,2909
uc001cbn.3,1749
uc001cbo.3,2456
uc001cbp.3,2355
uc001cbq.1,821
uc001cbr.4,2389
uc001cbs.4,2486
uc001cbt.3,1338
uc001cbu.3,2653
uc001cbv.2,2259
uc001cbw.4,2068
uc001cbx.2,2581
uc001cby.2,2858
uc001cbz.2,2399
uc001cca.1,1836
uc001ccd.2,1318
uc001cce.1,7972
uc001ccf.1,3905
uc001ccg.1,4454
uc001cch.3,3848
uc001cci.3,2836
uc001cck.3,1657
uc001ccm.3,1481
uc001ccn.4,2050
uc001ccp.1,2928
uc001ccq.3,2733
uc001ccr.3,3307
uc001ccs.3,2565
uc001ccu.1,1837
uc001ccv.3,682
uc001ccw.3,2726
uc001ccx.3,571
uc001ccy.3,567
uc001cda.1,11603
uc001cdb.1,5408
uc001cdc.2,11464
uc001cde.2,2402
uc001cdg.3,2847
uc001cdh.3,2714
uc001cdi.3,5626
uc001cdj.2,2241
uc001cdk.3,2637
uc001cdl.2,3204
uc001cdm.2,3117
uc001cdo.1,137
uc001cdp.3,4114
uc001cdq.1,1107
uc001cdr.3,4259
uc001cds.2,4376
uc001cdt.2,4368
uc001cdu.2,7747
uc001cdv.3,1119
uc001cdw.3,1254
uc001cdx.2,4830
uc001cdz.1,3773
uc001cea.1,1560
uc001ceb.1,1824
uc001cec.4,1886
uc001ced.4,1536
uc001cee.4,1649
uc001cef.4,1645
uc001ceg.4,1795
uc001ceh.4,1653
uc001cei.4,1649
uc001cek.3,1486
uc001cel.3,1068
uc001cem.3,1882
uc001cen.3,1742
uc001ceo.3,1738
uc001cep.3,1599
uc001ceq.3,1625
uc001cer.2,3260
uc001ces.2,3624
uc001cet.2,2040
uc001ceu.3,2162
uc001cev.3,2201
uc001cew.1,1768
uc001cey.4,2755
uc001cez.4,2776
uc001cfa.4,2773
uc001cfb.2,2504
uc001cfc.4,6250
uc001cfd.4,5985
uc001cfe.2,741
uc001cfg.4,3165
uc001cfh.1,2873
uc001cfi.1,3064
