geneId,id,start_position,end_position,length
ENSG00000006025,117,47807372,47821834,14463
ENSG00000006042,118,32927910,32945106,17197
ENSG00000006047,119,7288252,7294615,6364
ENSG00000006059,120,41346092,41350812,4721
ENSG00000006062,121,45263121,45317040,53920
ENSG00000006071,122,17392885,17476845,83961
ENSG00000006116,123,24255553,24362801,107249
ENSG00000006118,124,60924463,60937159,12697
ENSG00000006125,125,35578046,35726409,148364
ENSG00000006128,126,97731908,97740472,8565
ENSG00000006194,127,3263800,3301401,37602
ENSG00000006210,128,57372458,57385048,12591
ENSG00000006282,129,50543058,50555852,12795
ENSG00000006283,130,50561068,50627474,66407
ENSG00000006327,131,3018445,3022383,3939
ENSG00000006377,132,97005548,97011039,5492
ENSG00000006432,133,70722526,70809534,87009
ENSG00000006451,134,39623483,39708124,84642
ENSG00000006453,135,98291651,98401068,109418
ENSG00000006459,136,140084746,140177035,92290
ENSG00000006468,137,13891228,13991425,100198
ENSG00000006530,138,141551189,141655244,104056
ENSG00000006534,139,68008578,68029282,20705
ENSG00000006555,140,54779712,54801267,21556
ENSG00000006576,141,77798792,77957503,158712
ENSG00000006606,142,75769533,75789896,20364
ENSG00000006607,143,241356243,241494841,138599
ENSG00000006611,144,17493895,17544416,50522
ENSG00000006625,145,30496621,30504844,8224
ENSG00000006634,146,87876216,87909541,33326
ENSG00000006638,147,3594506,3606840,12335
ENSG00000006652,148,112422968,112481017,58050
ENSG00000006659,149,39704306,39709444,5139
ENSG00000006695,150,14069496,14208677,139182
ENSG00000006704,151,74453790,74602604,148815
ENSG00000006712,152,39385852,39391195,5344
ENSG00000006715,153,38722963,38932394,209432
ENSG00000006740,154,12789539,12991643,202105
ENSG00000006744,155,12992391,13018187,25797
ENSG00000006747,156,12570577,12660179,89603
ENSG00000006756,157,2903970,2929351,25382
ENSG00000006757,158,7898247,7927739,29493
ENSG00000006788,159,10300865,10373130,72266
ENSG00000006831,160,1688574,1788678,100105
ENSG00000006837,161,134286350,134371047,84698
ENSG00000007001,162,157876702,158136154,259453
ENSG00000007038,163,2817180,2826304,9125
ENSG00000007047,164,45079288,45305283,225996
ENSG00000007062,165,15963076,16084378,121303
ENSG00000007080,166,17933016,17943991,10976
ENSG00000007129,167,41549518,41586844,37327
ENSG00000007168,168,2593210,2685615,92406
ENSG00000007171,169,27756766,27800499,43734
ENSG00000007174,170,11598431,11969748,371318
ENSG00000007202,171,28614440,28645454,31015
ENSG00000007216,172,28473293,28497781,24489
ENSG00000007237,173,9910609,10198551,287943
ENSG00000007255,174,45162928,45178237,15310
ENSG00000007264,175,3777970,3802129,24160
ENSG00000007306,176,41673307,41706976,33670
ENSG00000007312,177,63928740,63932354,3615
ENSG00000007314,178,63938554,63972918,34365
ENSG00000007341,179,112523518,112620825,97308
ENSG00000007350,180,154295671,154330350,34680
ENSG00000007372,181,31784779,31818062,33284
ENSG00000007376,182,784974,788397,3424
ENSG00000007384,183,58059,76355,18297
ENSG00000007392,184,188969,229463,40495
ENSG00000007402,185,50362799,50504244,141446
ENSG00000007516,186,1333601,1349441,15841
ENSG00000007520,187,1349240,1351911,2672
ENSG00000007541,188,566995,584136,17142
ENSG00000007545,189,1612325,1677908,65584
ENSG00000007866,190,35473597,35497076,23480
ENSG00000007908,191,169722641,169764705,42065
ENSG00000007923,192,6634168,6701924,67757
ENSG00000007933,193,171090877,171117819,26943
ENSG00000007944,194,16129125,16148248,19124
ENSG00000007952,195,100843324,100874345,31022
ENSG00000007968,196,23506430,23531220,24791
ENSG00000008018,197,170535117,170553341,18225
ENSG00000008056,198,47571898,47619943,48046
ENSG00000008083,199,15246296,15522040,275745
ENSG00000008086,200,18425583,18653629,228047
ENSG00000008118,201,209583717,209613938,30222
ENSG00000008128,202,1702730,1724324,21595
ENSG00000008130,203,1751232,1780457,29226
ENSG00000008196,204,50818723,50847613,28891
ENSG00000008197,205,50713828,50772988,59161
ENSG00000008226,206,38039205,38124025,84821
ENSG00000008256,207,6161776,6272644,110869
ENSG00000008277,208,87934143,88202889,268747
ENSG00000008282,209,106090503,106112576,22074
ENSG00000008283,210,63432304,63446378,14075
ENSG00000008294,211,50962174,51120865,158692
ENSG00000008300,212,48636469,48662915,26447
ENSG00000008311,213,122075647,122144280,68634
ENSG00000008323,214,6310436,6328506,18071
ENSG00000008324,215,42581840,42595114,13275
ENSG00000008382,216,4343527,4360086,16560
ENSG00000008394,217,16347142,16609259,262118
ENSG00000008405,218,106991364,107093829,102466
ENSG00000008438,219,46019153,46023065,3913
ENSG00000008441,220,12995608,13098796,103189
ENSG00000008513,221,133454848,133571940,117093
ENSG00000008516,222,3046681,3060726,14046
ENSG00000008517,223,3065297,3082192,16896
ENSG00000008710,224,2088710,2135898,47189
ENSG00000008735,225,50600685,50613981,13297
ENSG00000008838,226,40019097,40061215,42119
ENSG00000008853,227,22987417,23020199,32783
ENSG00000008869,228,36968383,37084342,115960
ENSG00000008952,229,169966635,169998373,31739
ENSG00000008988,230,56067295,56074581,7287
ENSG00000009307,231,114716913,114758676,41764
ENSG00000009335,232,157138913,157269372,130460
ENSG00000009413,233,111299028,111483715,184688
ENSG00000009694,234,124375903,124963817,587915
ENSG00000009709,235,18631006,18748866,117861
ENSG00000009724,236,11026523,11047233,20711
ENSG00000009765,237,150368892,150405969,37078
ENSG00000009780,238,27725979,27763122,37144
ENSG00000009790,239,209756032,209782320,26289
ENSG00000009830,240,77274956,77320884,45929
ENSG00000009844,241,142147162,142224689,77528
ENSG00000009950,242,73593194,73624543,31350
ENSG00000009954,243,73440398,73522278,81881
ENSG00000010017,244,13621498,13711564,90067
ENSG00000010030,245,36354091,36387800,33710
ENSG00000010072,246,231337104,231355023,17920
ENSG00000010165,247,171781664,171814023,32360
ENSG00000010219,248,4562204,4615302,53099
ENSG00000010244,249,32350117,32381886,31770
ENSG00000010256,250,48599002,48610976,11975
ENSG00000010270,251,38178222,38230671,52450
ENSG00000010278,252,6199715,6238271,38557
ENSG00000010282,253,42692663,42702827,10165
ENSG00000010292,254,6493356,6531955,38600
ENSG00000010295,255,6538375,6556083,17709
ENSG00000010310,256,45668244,45683724,15481
ENSG00000010318,257,52410657,52423641,12985
ENSG00000010319,258,52433053,52445085,12033
ENSG00000010322,259,52455118,52493071,37954
ENSG00000010327,260,52495338,52524495,29158
ENSG00000010361,261,49806869,49817376,10508
ENSG00000010379,262,220621,262873,42253
ENSG00000010404,263,149476990,149521096,44107
ENSG00000010438,264,33750466,33799231,48766
ENSG00000010539,265,3222325,3236221,13897
ENSG00000010610,266,6786858,6820808,33951
ENSG00000010626,267,6873569,6914243,40675
ENSG00000010671,268,101349447,101390796,41350
ENSG00000010704,269,26087281,26098343,11063
ENSG00000010803,270,41027200,41242154,214955
ENSG00000010810,271,111660332,111873452,213121
ENSG00000010818,272,142751467,142956698,205232
ENSG00000010932,273,171248471,171285978,37508
ENSG00000011007,274,23743155,23762059,18905
ENSG00000011009,275,23790970,23795539,4570
ENSG00000011021,276,11806096,11843144,37049
ENSG00000011028,277,62627401,62693597,66197
ENSG00000011052,278,51153590,51171744,18155
ENSG00000011083,279,150189957,150222788,32832
ENSG00000011105,280,3077355,3286564,209210
ENSG00000011114,281,93237550,93333092,95543
ENSG00000011132,282,3750819,3761699,10881
ENSG00000011143,283,58205437,58219605,14169
ENSG00000011198,284,43690113,43734371,44259
ENSG00000011201,285,8528874,8732186,203313
ENSG00000011243,286,15380048,15419141,39094
ENSG00000011258,287,51177425,51260163,82739
ENSG00000011260,288,51260528,51297936,37409
ENSG00000011275,289,5620047,5781739,161693
ENSG00000011295,290,15999380,16045015,45636
ENSG00000011304,291,797075,812327,15253
ENSG00000011332,292,38211006,38229714,18709
ENSG00000011347,293,61515313,61581148,65836
ENSG00000011376,294,45388506,45549421,160916
ENSG00000011405,295,17077730,17207983,130254
ENSG00000011422,296,43646095,43670547,24453
ENSG00000011426,297,36389806,36453791,63986
ENSG00000011451,298,15419980,15449951,29972
ENSG00000011454,299,122940833,123104866,164034
ENSG00000011465,300,91140484,91183123,42640
ENSG00000011478,301,45692483,45703989,11507
ENSG00000011485,302,46346994,46392981,45988
ENSG00000011523,303,65056366,65087004,30639
ENSG00000011566,304,39249266,39437312,188047
ENSG00000011590,305,35704527,35717038,12512
ENSG00000011600,306,35904401,35908295,3895
ENSG00000011638,307,21158377,21180616,22240
ENSG00000011677,308,152166234,152451358,285125
ENSG00000012048,309,43044295,43170245,125951
ENSG00000012061,310,45407333,45478828,71496
ENSG00000012124,311,35319261,35347355,28095
ENSG00000012171,312,50267558,50277546,9989
ENSG00000012174,313,21839636,21885424,45789
ENSG00000012211,314,49175264,49186528,11265
ENSG00000012223,315,46435645,46485234,49590
ENSG00000012232,316,28600469,28755599,155131
ENSG00000012504,317,100473708,100564413,90706
ENSG00000012660,318,53267398,53349179,81782
ENSG00000012779,319,45374176,45446119,71944
ENSG00000012817,320,19703865,19744939,41075
ENSG00000012822,321,53708517,53727745,19229
ENSG00000012963,322,93207056,93229215,22160
ENSG00000012983,323,50418501,50561126,142626
ENSG00000013016,324,31234337,31269447,35111
ENSG00000013275,325,39971005,39981441,10437
ENSG00000013288,326,6575175,6623362,48188
ENSG00000013293,327,170459584,170586074,126491
ENSG00000013297,328,170418865,170860380,441516
ENSG00000013306,329,44319625,44324870,5246
ENSG00000013364,330,29820394,29848039,27646
ENSG00000013374,331,151341699,151378449,36751
ENSG00000013375,332,83161150,83193936,32787
ENSG00000013392,333,83193379,83198932,5554
ENSG00000013441,334,200853009,200864744,11736
ENSG00000013503,335,106357658,106510198,152541
ENSG00000013523,336,76786178,76826246,40069
ENSG00000013561,337,141958328,141990291,31964
ENSG00000013563,338,154401238,154412112,10875
ENSG00000013573,339,31073845,31104791,30947
ENSG00000013583,340,12974864,13000273,25410
ENSG00000013588,341,12890782,12917937,27156
ENSG00000013619,342,150361422,150514178,152757
ENSG00000013725,343,60971680,61020377,48698
ENSG00000013810,344,1721490,1745176,23687
ENSG00000014123,345,96521595,96555276,33682
ENSG00000014138,346,65261762,65305589,43828
ENSG00000014164,347,143437655,143541453,103799
ENSG00000014216,348,65180566,65212006,31441
ENSG00000014257,349,132317367,132368298,50932
ENSG00000014641,350,63588609,63607197,18589
ENSG00000014824,351,41990472,42090457,99986
ENSG00000014914,352,149928651,149936869,8219
ENSG00000014919,353,99711844,99732100,20257
ENSG00000015133,354,91271323,91417844,146522
ENSG00000015153,355,42157104,42238349,81246
ENSG00000015171,356,134465,254637,120173
ENSG00000015285,357,48676596,48691427,14832
ENSG00000015413,358,89613308,89638456,25149
ENSG00000015475,359,17734138,17774770,40633
ENSG00000015479,360,139293648,139331677,38030
ENSG00000015520,361,44512535,44541315,28781
ENSG00000015532,362,50346092,50363138,17047
ENSG00000015568,363,109792758,109857695,64938
ENSG00000015592,364,27235323,27258420,23098
ENSG00000015676,365,44379121,44490880,111760
ENSG00000016082,366,51383391,51394738,11348
ENSG00000016391,367,53812335,53846390,34056
ENSG00000016402,368,136999971,137045180,45210
ENSG00000016490,369,86468368,86500289,31922
ENSG00000016602,370,86547078,86580754,33677
ENSG00000016864,371,52694488,52706032,11545
ENSG00000017260,372,130850595,131016712,166118
ENSG00000017427,373,102395867,102480645,84779
ENSG00000017483,374,48458537,48470256,11720
ENSG00000017797,375,9475009,9538116,63108
ENSG00000018189,376,70704204,70807315,103112
ENSG00000018236,377,40692442,41072418,379977
ENSG00000018280,378,218382029,218396894,14866
ENSG00000018408,379,149517235,149736714,219480
ENSG00000018510,380,177392644,177559299,166656
ENSG00000018607,381,132309309,132318736,9428
ENSG00000018610,382,119538149,119565408,27260
ENSG00000018625,383,160115759,160143591,27833
ENSG00000018699,384,32628032,32821051,193020
ENSG00000018869,385,56375846,56393545,17700
ENSG00000019102,386,124747472,124752238,4767
ENSG00000019144,387,118606440,118658038,51599
ENSG00000019169,388,118942166,118994660,52495
ENSG00000019186,389,54153449,54173973,20525
ENSG00000019485,390,45095806,45235110,139305
ENSG00000019505,391,45240301,45286319,46019
ENSG00000019549,392,48917768,48921740,3973
ENSG00000019582,393,150401637,150412929,11293
ENSG00000019991,394,81699006,81770438,71433
ENSG00000019995,395,124942123,124988189,46067
ENSG00000020129,396,35557473,35567274,9802
ENSG00000020181,397,37784191,37844896,60706
ENSG00000020219,398,152445477,152447150,1674
ENSG00000020256,399,52051663,52204308,152646
ENSG00000020426,400,60734742,60969953,235212
ENSG00000020577,401,54567097,54793315,226219
ENSG00000020633,402,24899511,24965121,65611
ENSG00000020922,403,94415578,94493908,78331
ENSG00000021300,404,73646178,73662819,16642
ENSG00000021355,405,2832332,2842006,9675
ENSG00000021461,406,99828013,99866102,38090
ENSG00000021488,407,32830509,32869766,39258
ENSG00000021574,408,32063611,32157637,94027
ENSG00000021645,409,78170373,79868290,1697918
ENSG00000021762,410,3087116,3166739,79624
ENSG00000021776,411,34851782,34969839,118058
ENSG00000021826,412,210477682,210679107,201426
ENSG00000021852,413,56929210,56966140,36931
ENSG00000022267,414,136146702,136211359,64658
ENSG00000022277,415,56468585,56519449,50865
ENSG00000022355,416,161847063,161899981,52919
ENSG00000022556,417,54953130,55001142,48013
ENSG00000022567,418,141207166,141308305,101140
ENSG00000022840,419,120533480,120577594,44115
ENSG00000022976,420,102317377,102342702,25326
ENSG00000023041,421,112424428,112446917,22490
ENSG00000023171,422,123358428,123627774,269347
ENSG00000023191,423,494512,507300,12789
ENSG00000023228,424,206114817,206159603,44787
ENSG00000023287,425,52622456,52745843,123388
ENSG00000023318,426,99979179,100099040,119862
ENSG00000023330,427,52198086,52214327,16242
ENSG00000023445,428,102317450,102339403,21954
ENSG00000023516,429,42272153,42323267,51115
ENSG00000023572,430,193096468,193106114,9647
ENSG00000023608,431,61762357,61796428,34072
ENSG00000023697,432,15911172,16037282,126111
ENSG00000023734,433,15882391,15903478,21088
ENSG00000023839,434,99782732,99852192,69461
ENSG00000023892,435,35297852,35321771,23920
ENSG00000023902,436,150149183,150164720,15538
ENSG00000023909,437,93885205,93909456,24252
ENSG00000024048,438,42564062,42693504,129443
ENSG00000024422,439,47713343,47743134,29792
ENSG00000024526,440,68474152,68497221,23070
ENSG00000024862,441,138773509,138793319,19811
ENSG00000025039,442,89364636,89412270,47635
ENSG00000025156,443,122399546,122433119,33574
ENSG00000025293,444,35771974,35950381,178408
ENSG00000025423,445,56752161,56787790,35630
ENSG00000025434,446,47248300,47269032,20733
ENSG00000025708,447,50525752,50530056,4305
ENSG00000025770,448,50508216,50523472,15257
ENSG00000025772,449,44942130,44960486,18357
ENSG00000025796,450,107867756,107958189,90434
ENSG00000025800,451,32108038,32176568,68531
ENSG00000026025,452,17228259,17237593,9335
ENSG00000026036,453,63659300,63698684,39385
ENSG00000026103,454,88990582,89015785,25204
ENSG00000026297,455,166929504,166957191,27688
ENSG00000026508,456,35138870,35232402,93533
ENSG00000026559,457,51003656,51023129,19474
ENSG00000026652,458,161129979,161274061,144083
ENSG00000026751,459,160739057,160754821,15765
ENSG00000026950,460,26402237,26415216,12980
ENSG00000027001,461,23730189,23889419,159231
ENSG00000027075,462,61187559,61550976,363418
ENSG00000027644,463,156840063,156859018,18956
ENSG00000027697,464,137197484,137219449,21966
ENSG00000027847,465,177600100,177610347,10248
ENSG00000027869,466,156806243,156816862,10620
ENSG00000028116,467,57907651,58159920,252270
ENSG00000028137,468,12167003,12209228,42226
ENSG00000028203,469,95217746,95302790,85045
ENSG00000028277,470,42086110,42196585,110476
ENSG00000028310,471,850291,892824,42534
ENSG00000028528,472,64094123,64146090,51968
ENSG00000028839,473,133952170,133990432,38263
ENSG00000029153,474,27332854,27425289,92436
ENSG00000029363,475,136256627,136289851,33225
ENSG00000029364,476,69398015,69462388,64374
ENSG00000029534,477,41653220,41896762,243543
ENSG00000029559,478,87799581,87812435,12855
ENSG00000029639,479,155257509,155314493,56985
ENSG00000029725,480,5282265,5385812,103548
ENSG00000029993,481,150980509,150990775,10267
ENSG00000030066,482,47778087,47848555,70469
ENSG00000030110,483,33572547,33580293,7747
ENSG00000030304,484,110668771,110801620,132850
ENSG00000030419,485,212999691,213152427,152737
ENSG00000030582,486,44345086,44353102,8017
ENSG00000031003,487,137937960,138051961,114002
ENSG00000031081,488,119294373,119420714,126342
ENSG00000031691,489,49463378,49493107,29730
ENSG00000031698,490,109213918,109238169,24252
ENSG00000031823,491,5916139,5978142,62004
ENSG00000032219,492,58298385,58373887,75503
ENSG00000032389,493,3188925,3377882,188958
ENSG00000032444,494,7534004,7561764,27761
ENSG00000032742,495,20567069,20691437,124369
ENSG00000033011,496,5033960,5087379,53420
ENSG00000033030,497,122471600,122501073,29474
ENSG00000033050,498,151207837,151227230,19394
ENSG00000033100,499,151232489,151238827,6339
ENSG00000033122,500,69568398,70151945,583548
ENSG00000033170,501,65410592,65744121,333530
ENSG00000033178,502,67612652,67701179,88528
ENSG00000033327,503,78215297,78418348,203052
ENSG00000033627,504,42458844,42522611,63768
ENSG00000033800,505,68054179,68198603,144425
ENSG00000033867,506,27372721,27484420,111700
ENSG00000034053,507,28884483,29118315,233833
ENSG00000034152,508,21284672,21315240,30569
ENSG00000034239,509,48710789,48735311,24523
ENSG00000034510,510,84905625,84906675,1051
ENSG00000034533,511,131013875,131027649,13775
ENSG00000034677,512,100257060,100336218,79159
ENSG00000034693,513,143450807,143490010,39204
ENSG00000034713,514,75566351,75577881,11531
ENSG00000034971,515,171635417,171652683,17267
ENSG00000035115,516,217730,266398,48669
ENSG00000035141,517,70295975,70302090,6116
ENSG00000035403,518,73995193,74121363,126171
ENSG00000035499,519,60596912,60700190,103279
ENSG00000035664,520,63907036,64072033,164998
ENSG00000035681,521,58583504,58659844,76341
ENSG00000035687,522,244408494,244452134,43641
ENSG00000035720,523,67558728,67607337,48610
ENSG00000035862,524,78852977,78925387,72411
ENSG00000035928,525,39287456,39366375,78920
ENSG00000036054,526,100261000,100325251,64252
ENSG00000036257,527,224470150,224585397,115248
ENSG00000036448,528,2045040,2165552,120513
ENSG00000036473,529,38352545,38421450,68906
ENSG00000036530,530,99684304,99727301,42998
ENSG00000036549,531,77562416,77683419,121004
ENSG00000036565,532,20144855,20183206,38352
ENSG00000036672,533,119355215,119381726,26512
ENSG00000036828,534,122183683,122291629,107947
ENSG00000037042,535,42659305,42667006,7702
ENSG00000037241,536,172958729,172969771,11043
ENSG00000037280,537,180601506,180649624,48119
ENSG00000037474,538,6599239,6633291,34053
ENSG00000037637,539,16246839,16352454,105616
ENSG00000037749,540,154038906,154220478,181573
ENSG00000037757,541,13764532,13774282,9751
ENSG00000037897,542,57768471,57772793,4323
ENSG00000037965,543,54009106,54012362,3257
ENSG00000038002,544,177430770,177442503,11734
ENSG00000038210,545,25233975,25279092,45118
ENSG00000038219,546,13568738,13627723,58986
ENSG00000038274,547,163503114,163519336,16223
ENSG00000038295,548,165873258,166103895,230638
ENSG00000038358,549,67873023,67884503,11481
ENSG00000038382,550,14143702,14532128,388427
ENSG00000038427,551,83471465,83582303,110839
ENSG00000038532,552,10944488,11182189,237702
ENSG00000038945,553,16107878,16567490,459613
ENSG00000039068,554,68737225,68835548,98324
ENSG00000039123,555,55307760,55425581,117822
ENSG00000039139,556,13690331,13944543,254213
ENSG00000039319,557,80408013,80479350,71338
ENSG00000039523,558,67518418,67546788,28371
ENSG00000039537,559,41142234,41261438,119205
ENSG00000039560,560,34656237,34832627,176391
ENSG00000039600,561,157625679,157671480,45802
ENSG00000039650,562,49859882,49878351,18470
ENSG00000039987,563,12751702,12758458,6757
ENSG00000040199,564,71637835,71724701,86867
ENSG00000040275,565,169583634,169604778,21145
ENSG00000040341,566,73420369,73747708,327340
ENSG00000040487,567,19312326,19329300,16975
ENSG00000040531,568,3636468,3661542,25075
ENSG00000040608,569,20241415,20283246,41832
ENSG00000040633,570,7235028,7239722,4695
ENSG00000040731,571,24487100,24644978,157879
ENSG00000040933,572,98444854,98594390,149537
ENSG00000041353,573,54717860,54895516,177657
ENSG00000041357,574,78540405,78552419,12015
ENSG00000041515,575,108596152,109208007,611856
ENSG00000041802,576,194640788,194672477,31690
ENSG00000041880,577,51942345,51948867,6523
ENSG00000041982,578,115019578,115118257,98680
ENSG00000041988,579,6624866,6635586,10721
ENSG00000042062,580,50586108,50691528,105421
ENSG00000042088,581,89954939,90044768,89830
ENSG00000042286,582,70098223,70132934,34712
ENSG00000042304,583,227610090,227648606,38517
ENSG00000042317,584,88384924,88470350,85427
ENSG00000042429,585,93784227,93814963,30737
ENSG00000042445,586,85342088,85354620,12533
ENSG00000042493,587,85394748,85418432,23685
ENSG00000042753,588,46838136,46850992,12857
ENSG00000042781,589,215622894,216423396,800503
ENSG00000042813,590,49850421,50121329,270909
ENSG00000042832,591,132866958,133134903,267946
ENSG00000042980,592,24294040,24359018,64979
ENSG00000043039,593,129375940,129452279,76340
ENSG00000043093,594,182938074,182985953,47880
ENSG00000043143,595,134524312,134583230,58919
ENSG00000043355,596,99981772,99986773,5002
ENSG00000043462,597,170246237,170298227,51991
ENSG00000043514,598,39841022,39883511,42490
ENSG00000043591,599,114044056,114046908,2853
ENSG00000044012,600,42153421,42155824,2404
ENSG00000044090,601,43037617,43053945,16329
ENSG00000044115,602,138610967,138935034,324068
ENSG00000044446,603,18892300,18984598,92299
ENSG00000044459,604,17134982,17503923,368942
ENSG00000044524,605,89107524,89482134,374611
ENSG00000044574,606,125234853,125241330,6478
ENSG00000046604,607,31498043,31549008,50966
ENSG00000046647,608,14008279,14029893,21615
ENSG00000046651,609,13734745,13769353,34609
ENSG00000046653,610,13771031,13938638,167608
ENSG00000046774,611,142202345,142205290,2946
ENSG00000046889,612,67952118,68237030,284913
ENSG00000047056,613,1049538,1132297,82760
ENSG00000047188,614,113513683,113595285,81603
ENSG00000047230,615,16588003,16712936,124934
ENSG00000047249,616,53715557,53843558,128002
ENSG00000047315,617,56977722,57031168,53447
ENSG00000047346,618,52581317,52709817,128501
ENSG00000047365,619,35948221,36244509,296289
ENSG00000047410,620,186311652,186375693,64042
ENSG00000047457,621,149162410,149222055,59646
ENSG00000047578,622,27550133,27780369,230237
ENSG00000047579,623,15522801,15663058,140258
ENSG00000047597,624,37685759,37732130,46372
ENSG00000047617,625,5531869,5946232,414364
ENSG00000047621,626,4487728,4538508,50781
ENSG00000047634,627,17737449,17754988,17540
ENSG00000047644,628,10015562,10144478,128917
ENSG00000047648,629,11137543,11665701,528159
ENSG00000047662,630,17629306,17781512,152207
ENSG00000047849,631,47850690,48089272,238583
ENSG00000047932,632,117560269,117602542,42274
ENSG00000047936,633,117288300,117425855,137556
ENSG00000048028,634,113797874,113875570,77697
